0000 cccc,1A
MFX Parameter 3,1B
0000 cccc,1E
MFX Parameter 4,1F
0000 cccc,22
MFX Parameter 5,23
0000 cccc,26
MFX Parameter 6,27
0000 cccc,2A
MFX Parameter 7,2B
0000 cccc,2E
MFX Parameter 8,2F
0000 cccc,32
MFX Parameter 9,33
0000 cccc,36
MFX Parameter 10,37
0000 cccc,3A
MFX Parameter 11,3B
0000 cccc,3E
MFX Parameter 12,3F
0000 cccc,42
MFX Parameter 13,43
0000 cccc,46
MFX Parameter 14,47
0000 cccc,4A
MFX Parameter 15,4B
0000 cccc,4E
MFX Parameter 16,4F
MFX Parameter 17,53
0000 cccc,56
MFX Parameter 18,57
0000 cccc,5A
MFX Parameter 19,5B
0000 cccc,5E
MFX Parameter 20,5F
0000 cccc,62
MFX Parameter 21,63
0000 cccc,66
MFX Parameter 22,67
0000 cccc,6A
MFX Parameter 23,6B
0000 cccc,6E
MFX Parameter 24,6F
0000 cccc,72
MFX Parameter 25,73
0000 cccc,76
MFX Parameter 26,77
0000 cccc,7A
MFX Parameter 27,7B
0000 cccc,7E
MFX Parameter 28,7F
0000 cccc,02
MFX Parameter 29,03
0000 cccc,06
MFX Parameter 30,07
0000 cccc,0A
MFX Parameter 31,0B
0000 cccc,0E
MFX Parameter 32,0F
Switch,00
Reverb Type,01
Reverb Level,02
Reverb Parameter 1,06
0000 cccc,09
Reverb Parameter 2,0A
0000 cccc,0D
Reverb Parameter 3,0E
0000 cccc,11
Reverb Parameter 4,12
0000 cccc,15
Reverb Parameter 5,16
0000 cccc,19
Reverb Parameter 6,1A
0000 cccc,1D
Reverb Parameter 7,1E
0000 cccc,21
Reverb Parameter 8,22
0000 cccc,25
Reverb Parameter 9,26
0000 cccc,29
Reverb Parameter 10,2A
0000 cccc,2D
Reverb Parameter 11,2E
0000 cccc,31
Reverb Parameter 12,32
0000 cccc,35
Reverb Parameter 13,36
0000 cccc,39
Reverb Parameter 14,3A
0000 cccc,3D
Reverb Parameter 15,3E
0000 cccc,41
Reverb Parameter 16,42
0000 cccc,45
Reverb Parameter 17,46
0000 cccc,49
Reverb Parameter 18,4A
0000 cccc,4D
Reverb Parameter 19,4E
0000 cccc,50
Reverb Parameter 20,52
Switch,00
Chorus Type,01
0000 cccc,06
Chorus Parameter 1,07
0000 cccc,0A
Chorus Parameter 2,0B
0000 cccc,0E
Chorus Parameter 3,0F
0000 cccc,12
Chorus Parameter 4,13
0000 cccc,16
Chorus Parameter 5,17
0000 cccc,1A
Chorus Parameter 6,1B
0000 cccc,1E
Chorus Parameter 7,1F
0000 cccc,22
Chorus Parameter 8,23
0000 cccc,26
Chorus Parameter 9,27
0000 cccc,2A
Chorus Parameter 10,2B
0000 cccc,2E
Chorus Parameter 11,2F
0000 cccc,32
Chorus Parameter 12,33
0000 cccc,36
Chorus Parameter 13,37
0000 cccc,3A
Chorus Parameter 14,3B
0000 cccc,3E
Chorus Parameter 15,3F
0000 cccc,42
Chorus Parameter 16,43
0000 cccc,46
Chorus Parameter 17,47
0000 cccc,4A
Chorus Parameter 18,4B
0000 cccc,4E
Chorus Parameter 19,4F
0000 cccc,52
Chorus Parameter 20,53
Overdrive Type,00
Dry Mix Level,02
0000 cccc,05
Overdrive parameter 1,06
0000 cccc,09
Overdrive parameter 2,0A
0000 cccc,0D
Overdrive parameter 3,0E
0000 cccc,11
Overdrive parameter 4,12
0000 cccc,15
Overdrive parameter 5,16
0000 cccc,19
Overdrive parameter 6,1A
0000 cccc,1D
Overdrive parameter 7,1E
0000 cccc,21
Overdrive parameter 8,22
0000 cccc,25
Overdrive parameter 9,26
0000 cccc,29
Overdrive parameter 10,2A
0000 cccc,2D
Overdrive parameter 11,2E
0000 cccc,30
Overdrive parameter 12,32
0000 cccc,35
Overdrive parameter 13,36
0000 cccc,39
Overdrive parameter 14,3A
0000 cccc,3D
Overdrive parameter 15,3E
0000 cccc,41
Overdrive parameter 16,42
0000 cccc,45
Overdrive parameter 17,46
0000 cccc,49
Overdrive parameter 18,4A
0000 cccc,4D
Overdrive parameter 19,4E
0000 cccc,51
Overdrive parameter 20,52
0000 cccc,55
Overdrive parameter 21,56
0000 cccc,59
Overdrive parameter 22,5A
0000 cccc,5D
Overdrive parameter 23,5E
0000 cccc,61
Overdrive parameter 24,62
0000 cccc,65
Overdrive parameter 25,66
0000 cccc,69
Overdrive parameter 26,6A
0000 cccc,6D
Overdrive parameter 27,6E
0000 cccc,71
Overdrive parameter 28,72
0000 cccc,75
Overdrive parameter 29,76
0000 cccc,79
Overdrive parameter 30,7A
0000 cccc,7D
Overdrive parameter 31,7E
0000 cccc,01
Overdrive parameter 32,02
Rotary Type,00
Rotary Switch,01
0000 cccc,04
Rotary parameter 1,05
0000 cccc,08
Rotary parameter 2,09
0000 cccc,0C
Rotary parameter 3,0D
0000 cccc,10
Rotary parameter 4,11
0000 cccc,14
Rotary parameter 5,15
0000 cccc,18
Rotary parameter 6,19
0000 cccc,1C
Rotary parameter 7,1D
0000 cccc,20
Rotary parameter 8,21
0000 cccc,24
Rotary parameter 9,25
0000 cccc,28
Rotary parameter 10,29
0000 cccc,2C
Rotary parameter 11,2D
0000 cccc,30
Rotary parameter 12,31
0000 cccc,34
Rotary parameter 13,35
0000 cccc,38
Rotary parameter 14,39
0000 cccc,3B
Rotary parameter 15,3D
0000 cccc,40
Rotary parameter 16,41
0000 cccc,44
Rotary parameter 17,45
0000 cccc,48
Rotary parameter 18,49
0000 cccc,4C
Rotary parameter 19,4D
0000 cccc,50
Rotary parameter 20,51
0000 cccc,54
Rotary parameter 21,55
0000 cccc,58
Rotary parameter 22,59
0000 cccc,5C
Rotary parameter 23,5D
0000 cccc,60
Rotary parameter 24,61
0000 cccc,64
Rotary parameter 25,65
0000 cccc,68
Rotary parameter 26,69
0000 cccc,6C
Rotary parameter 27,6D
0000 cccc,70
Rotary parameter 28,71
0000 cccc,74
Rotary parameter 29,75
0000 cccc,78
Rotary parameter 30,79
0000 cccc,7C
Rotary parameter 31,7D
0000 cccc,00
Rotary parameter 32,01
